  PID TTY          TIME CMD
  863 ?        00:00:00 xfs-log/dm-1
  864 ?        00:00:00 xfs-eofblocks/d
  865 ?        00:00:00 xfsaild/dm-1
  881 ?        00:00:00 systemd-timesyn
  919 ?        00:00:01 haveged
  922 ?        00:00:00 dundee
  924 ?        00:00:00 ModemManager
  926 ?        00:00:00 systemd-logind
  927 ?        00:00:00 bluetoothd
  930 ?        00:00:05 iio-sensor-prox
  932 ?        00:00:00 ofonod
  933 ?        00:00:00 alsactl
  936 ?        00:00:00 accounts-daemon
  937 ?        00:00:00 avahi-daemon
  939 ?        00:00:00 cron
  941 ?        00:00:00 rsyslogd
  942 ?        00:00:00 udisksd
  943 ?        00:00:01 dbus-daemon
  944 ?        00:00:00 NetworkManager
  945 ?        00:00:00 connmand
  946 ?        00:00:00 wpa_supplicant
  955 ?        00:00:01 snapd
  961 ?        00:00:00 avahi-daemon
  984 ?        00:00:00 iprt-VBoxWQueue
  988 ?        00:00:00 iprt-VBoxTscThr
  999 ?        00:00:00 polkitd
 1030 ?        00:00:00 krfcommd
 1179 ?        00:00:00 unattended-upgr
 1198 ?        00:00:00 gdm3
 1202 ?        00:00:00 sshd
 1257 ?        00:00:00 postgres
 1263 ?        00:00:03 mysqld
 1264 ?        00:00:00 postgres
 1294 ?        00:00:00 postgres
 1299 ?        00:00:00 postgres
 1300 ?        00:00:00 postgres
 1301 ?        00:00:00 postgres
 1302 ?        00:00:00 postgres
 1303 ?        00:00:00 postgres
 1345 ?        00:00:00 postgres
 1346 ?        00:00:00 postgres
 1347 ?        00:00:00 postgres
 1348 ?        00:00:00 postgres
 1349 ?        00:00:00 postgres
 1350 ?        00:00:00 postgres
 1403 ?        00:00:00 rtkit-daemon
 1442 ?        00:00:00 upowerd
 1571 ?        00:00:00 colord
 1590 ?        00:00:00 apache2
 1592 ?        00:00:00 apache2
 1593 ?        00:00:00 apache2
 1594 ?        00:00:00 apache2
 1697 ?        00:00:00 gdm-session-wor
 1702 ?        00:00:00 systemd
 1703 ?        00:00:00 (sd-pam)
 1719 ?        00:00:00 gnome-keyring-d
 1723 tty2     00:00:00 gdm-x-session
 1725 tty2     00:01:41 Xorg
 1733 ?        00:00:01 dbus-daemon
 1735 tty2     00:00:00 gnome-session-b
 1813 ?        00:00:00 ssh-agent
 1830 ?        00:00:06 ibus-daemon
 1836 ?        00:00:00 gvfsd
 1843 ?        00:00:00 at-spi-bus-laun
 1844 ?        00:00:00 gvfsd-fuse
 1846 ?        00:00:00 ibus-dconf
 1848 ?        00:00:00 ibus-ui-gtk3
 1853 ?        00:00:01 ibus-extension-
 1855 ?        00:00:00 ibus-x11
 1860 ?        00:00:00 ibus-portal
 1869 ?        00:00:00 dbus-daemon
 1880 ?        00:00:00 at-spi2-registr
 1889 ?        00:00:00 xdg-desktop-por
 1895 ?        00:00:00 xdg-document-po
 1900 ?        00:00:00 xdg-permission-
 1911 ?        00:00:00 xdg-desktop-por
 1923 ?        00:00:01 ibus-engine-sim
 1928 tty2     00:02:25 gnome-shell
 1945 ?        00:00:44 pulseaudio
 1958 ?        00:00:00 gnome-shell-cal
 1964 ?        00:00:00 evolution-sourc
 1970 ?        00:00:00 goa-daemon
 1975 ?        00:00:00 gvfs-udisks2-vo
 1981 ?        00:00:00 gvfs-mtp-volume
 1985 ?        00:00:00 gvfs-gphoto2-vo
 1989 ?        00:00:00 gvfs-goa-volume
 1998 ?        00:00:00 goa-identity-se
 2003 ?        00:00:00 gvfs-afc-volume
 2008 tty2     00:00:00 gsd-power
 2010 tty2     00:00:00 gsd-print-notif
 2011 tty2     00:00:00 gsd-rfkill
 2012 tty2     00:00:00 gsd-screensaver
 2015 tty2     00:00:00 gsd-sharing
 2020 tty2     00:00:00 gsd-sound
 2022 tty2     00:00:00 gsd-xsettings
 2025 tty2     00:00:00 gsd-wacom
 2030 tty2     00:00:00 gsd-smartcard
 2042 tty2     00:00:00 gsd-a11y-settin
 2043 tty2     00:00:00 gsd-clipboard
 2045 tty2     00:00:00 gsd-color
 2050 tty2     00:00:00 gsd-datetime
 2052 tty2     00:00:00 gsd-housekeepin
 2054 tty2     00:00:00 gsd-keyboard
 2060 tty2     00:00:00 gsd-media-keys
 2061 tty2     00:00:00 gsd-mouse
 2082 tty2     00:00:00 gsd-printer
 2104 tty2     00:00:06 zeitgeist-datah
 2105 tty2     00:00:00 blueman-applet
 2106 tty2     00:00:13 plank
 2107 tty2     00:00:00 gsd-disk-utilit
 2108 tty2     00:00:00 evolution-alarm
 2110 tty2     00:00:00 tracker-miner-a
 2111 tty2     00:00:25 tracker-miner-f
 2121 tty2     00:00:05 gnome-software
 2137 ?        00:00:06 tracker-store
 2163 ?        00:00:00 zeitgeist-daemo
 2173 ?        00:00:00 zeitgeist-fts
 2203 ?        00:00:01 dconf-service
 2219 ?        00:00:00 evolution-calen
 2232 ?        00:00:01 bamfdaemon
 2258 ?        00:00:00 evolution-addre
 2305 ?        00:00:00 obexd
 2309 ?        00:00:00 fwupd
 2558 ?        00:00:01 kworker/u16:1-events_unbound
 2566 tty2     00:01:44 chrome
 2573 tty2     00:00:00 cat
 2574 tty2     00:00:00 cat
 2577 tty2     00:00:00 chrome
 2578 tty2     00:00:00 chrome-sandbox
 2579 tty2     00:00:00 chrome
 2581 tty2     00:00:00 chrome-sandbox
 2582 tty2     00:00:00 nacl_helper
 2584 tty2     00:00:00 chrome
 2604 tty2     00:03:31 chrome
 2610 tty2     00:00:40 chrome
 2631 tty2     00:00:01 chrome
 2707 tty2     00:00:04 chrome
 2716 tty2     00:00:00 chrome
 2725 tty2     00:00:16 chrome
 2733 tty2     00:00:00 chrome
 2772 tty2     00:00:00 chrome
 2780 tty2     00:00:00 chrome
 2794 tty2     00:00:01 chrome
 2831 tty2     00:00:00 chrome
 2844 tty2     00:00:00 chrome-gnome-sh
 2909 ?        00:00:42 nautilus
 2915 ?        00:00:00 gvfsd-trash
 2931 ?        00:00:00 gvfsd-metadata
 2944 ?        00:00:00 gvfsd-burn
 2979 ?        00:00:00 dhclient
 3122 tty2     00:00:28 chrome
 3142 ?        00:00:00 sh
 3155 ?        00:00:00 run-parts
 3189 ?        00:00:00 run-parts
 3209 ?        00:00:00 avahi-daemon-ch
 3221 ?        00:00:00 host
 3255 tty2     00:00:00 chrome
 3302 tty2     00:00:00 chrome
 3353 tty2     00:00:03 chrome
 3370 tty2     00:00:02 chrome
 3451 tty2     00:00:01 chrome
 4748 tty2     00:05:34 chrome
 4881 tty2     00:00:13 chrome
 5079 ?        00:00:08 gnome-terminal-
 5538 tty2     00:00:48 chrome
 5571 ?        00:00:00 kworker/u16:0-events_unbound
 5902 tty2     00:00:00 chrome
 6085 ?        00:00:00 kworker/0:1-xfs-cil/dm-1
 6515 ?        00:00:00 seahorse
 6520 ?        00:00:00 epiphany-search
 6570 ?        00:00:00 mission-control
 6676 ?        00:00:09 code
 6678 ?        00:00:00 code
 6679 ?        00:00:00 code
 6715 ?        00:00:00 code
 6716 ?        00:00:06 code
 6733 ?        00:00:33 code
 6765 ?        00:00:04 code
 6781 ?        00:00:02 code
 6795 ?        00:00:01 code
 6817 ?        00:00:00 code
 6844 ?        00:00:00 sh
 6845 ?        00:00:08 dart
 6874 ?        00:00:00 gvfsd-network
 6940 ?        00:00:00 gvfsd-dnssd
 6970 pts/1    00:00:00 bash
 6975 pts/1    00:00:00 su
 6979 pts/1    00:00:00 bash
 9796 ?        00:00:00 kworker/1:1-events
 9821 ?        00:00:00 kworker/3:2-xfs-cil/dm-0
 9928 tty2     00:00:00 dbeaver
 9951 tty2     00:01:00 java
 9996 ?        00:00:00 nm-dhcp-helper
10074 ?        00:00:00 kworker/2:2-events_power_efficient
10538 ?        00:00:00 kworker/3:1-xfs-cil/dm-0
11332 ?        00:00:00 kworker/0:0-xfs-sync/dm-1
11333 ?        00:00:00 kworker/2:1-xfs-buf/dm-1
13290 ?        00:00:00 kworker/3:0-events
14609 pts/1    00:00:00 bash
14788 pts/1    00:00:00 bash
14969 pts/1    00:00:00 bash
15174 ?        00:00:00 gnome-control-c
15177 ?        00:00:00 gnome-documents
15186 ?        00:00:00 org.gnome.Chara
15189 ?        00:00:00 gnome-calendar
15227 ?        00:00:00 telepathy-logge
15239 tty2     00:00:02 opera
15244 tty2     00:00:00 opera
15245 tty2     00:00:00 opera_sandbox
15246 tty2     00:00:00 opera
15248 tty2     00:00:00 opera
15266 tty2     00:00:00 opera
15274 tty2     00:00:00 opera
15322 tty2     00:00:00 opera
15326 tty2     00:00:00 opera
15339 tty2     00:00:00 opera
15370 tty2     00:00:00 opera
15402 tty2     00:00:00 opera
15410 tty2     00:00:00 opera
15449 tty2     00:00:00 opera
15469 tty2     00:00:00 opera
15512 tty2     00:00:00 opera
15519 tty2     00:00:00 opera
15536 ?        00:00:00 kworker/1:2
15623 tty2     00:00:00 opera_autoupdat
15652 pts/1    00:00:00 bash
15832 ?        00:00:00 kworker/0:2-events
15839 pts/1    00:00:00 ps
